Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Attachment,Attachment,Attachment,Attachment,Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Comments),Custom field (Customer segments),Custom field (Customer segments),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Design file),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Effort),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Impact),Custom field (Insights),Custom field (Issue colour),Custom field (Linked items),Custom field (Project start),Custom field (Project target),Custom field (Rank),Custom field (Roadmap),Custom field (Score),Custom field (Start date),Custom field (State),Custom field (Team),Custom field (Theme),Custom field (Vulnerability),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
"Modal Alanı Dışına Taşan ""Is Required"" Hata Mesajı ve Buton İsim Uyumsuzluğu",TAS-67,10302,Bug,Bug,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 2:01 PM,17/Sep/26 2:01 PM,21/Sep/26 9:06 PM,,,0,,,"* *Ön Koşul:* Kullanıcı panoya giriş yapmış ve sütun ekleme modal penceresi açık olmalıdır.
* *Test Adımları:*
*# Arayüzdeki *""Add another column""* butonuna tıklanır.
*# Sütun başlığı ({{Title}}) alanı boş bırakılır.
*# Penceredeki *""Add""* butonuna tıklanır.
* Şartnamede add column butonu olarak bilinen buton canlıda adı *Add another column* dur isim uyuşmazlığı vardır.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,17/Sep/26 2:01 PM;c81d48e0-b6a6-4e44-9fa1-7b52a275c7eb;Ekran Resmi 2026-09-17 13.55.26.png;https://meleky2307.atlassian.net/rest/api/3/attachment/content/10142,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000c3:,,,,,,,,,10222,TAS-51,modül6 20 -- 27,To Do,17/Sep/26 2:01 PM
TC-14: Modal Pencerenin Kapatma Butonu (x) ile Kapatılması,TAS-66,10269,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 10:44 AM,17/Sep/26 2:04 PM,17/Sep/26 10:46 AM,17/Sep/26 2:04 PM,,0,,,"* *Ön Koşul:* Sütun ekleme veya düzenleme modal penceresi açık olmalıdır.
* *Test Adımları:*
*# Başlık alanına veri girilir veya değiştirilir.
*# Modal pencerenin sağ üst köşesindeki *kapatma butonuna (*{{x}}*)* tıklanır.
* *Beklenen Sonuç:* Hiçbir veri kaydedilmeden modal pencere kapanır.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008v:i,,,,,,,,,10222,TAS-51,modül6 20 -- 27,Done,17/Sep/26 2:04 PM
TC-13: Sütun Düzenlerken Başlığın Boş Bırakılması,TAS-65,10268,Task,In Review,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 10:43 AM,17/Sep/26 2:04 PM,17/Sep/26 10:45 AM,,,0,,,"* *Ön Koşul:* Sütun düzenleme modal penceresi açık olmalıdır.
* *Test Adımları:*
*# Başlık alanındaki mevcut metin tamamen silinerek alan boş bırakılır.
*# *""Add""* butonuna tıklanır.
* *Beklenen Sonuç:* Alan boş olduğu için değişiklikler kaydedilemez ve sütun güncellenmez.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008t:,,,,,,,,,10222,TAS-51,modül6 20 -- 27,To Do,17/Sep/26 10:43 AM
TC-12: Sütun Düzenleme ve Mevcut Verinin Gelmesi,TAS-64,10267,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 10:43 AM,17/Sep/26 2:04 PM,17/Sep/26 2:02 PM,17/Sep/26 2:04 PM,,0,,,"** *Ön Koşul:* Sistemde daha önceden oluşturulmuş bir sütun bulunmalıdır.
** *Test Adımları:*
**# İlgili sütundaki *""Edit Column""* butonuna tıklanır.
**# Açılan modal pencerede başlık alanının otomatik olarak mevcut veriyle dolu geldiği kontrol edilir.
**# Başlık alanında değişiklik yapılır ve *""Add""* butonuna tıklanır.
** *Beklenen Sonuç:* Sütun başlığı güncellenmiş yeni veriyle kaydedilir.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008w:,,,,,,,,,10222,TAS-51,modül6 20 -- 27,Done,17/Sep/26 2:04 PM
TC-11: Boş Başlık ile Sütun Oluşturmanın Engellenmesi,TAS-63,10266,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 10:42 AM,17/Sep/26 2:02 PM,17/Sep/26 2:01 PM,17/Sep/26 2:02 PM,,0,,,"** *Ön Koşul:* Sütun ekleme modal penceresi açık olmalıdır.
** *Test Adımları:*
**# Sütun başlığı ({{Title}}) alanı boş bırakılır.
**# *""Add""* butonuna tıklanır.
** *Beklenen Sonuç:* Sütun oluşturulamaz, sistem uyarı verir ve veri kaydedilmez.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008x:,,,,,,,,,10222,TAS-51,modül6 20 -- 27,Done,17/Sep/26 2:02 PM
TC-10: Yeni Sütun Ekleme ve Arayüz Konumlanması,TAS-62,10265,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 10:42 AM,17/Sep/26 1:59 PM,17/Sep/26 1:56 PM,17/Sep/26 1:59 PM,,0,,,"* *Ön Koşul:* Kullanıcı panoya giriş yapmış olmalıdır.
* *Test Adımları:*
*# Arayüzde bulunan *""Add Column""* butonuna tıklanır.
*# Açılan modal pencerede sütun başlığı ({{Title}}) alanına geçerli bir isim girilir.
*# Penceredeki *""Add""* butonuna tıklanır.
* *Beklenen Sonuç:*
** Girilen veriler sisteme kaydedilir.
** Modal pencere kapanır ve *""Add Column""* butonu sağa kayarak yerini yeni oluşturulan sütuna bırakır.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008v:,,,,,,,,,10222,TAS-51,modül6 20 -- 27,Done,17/Sep/26 1:59 PM
Küçük Ekranlarda Ana Sayfa Arayüzünün Bozulması,TAS-61,10232,Bug,Bug,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 6:31 AM,17/Sep/26 6:33 AM,21/Sep/26 9:06 PM,,,0,,,"* *Özet (Summary):* [Responsive] 320px ve küçük ekran genişliklerinde ana sayfa arayüz bileşenleri bozulmaktadır.
* *Modül:* Dashboard / Ana Sayfa (Şartname Madde 20)
* *Ön Koşullar (Pre-conditions):*
** Kullanıcı sisteme giriş yapmış olmalıdır.
** Aktif bir pano sayfası açık olmalıdır.
* *Test Adımları (Steps to Reproduce):*
*# Tarayıcının geliştirici araçları (Device Toolbar) açılır.
*# Ekran çözünürlüğü {{320px}} genişliğe (küçük mobil boyutuna) ayarlanır.
*# Ana sayfadaki pano başlığı, filtreler ve sütun bloklarının yerleşimi gözlemlenir.
* *Beklenen Sonuç (Expected Result):* Şartname Madde 20 gereğince; ana sayfanın tüm desteklenen mobil çözünürlüklerde (standart ve küçük ekranlar dahil) duyarlı (responsive) tasarıma tam uygun, düzgün ve okunabilir şekilde görüntülenmesi beklenir.
* *Gerçekleşen Sonuç (Actual Result):* Standart telefon boyutlarında ({{375px}} ve üzeri) arayüz sorunsuz çalışırken, {{320px}}genişliğindeki küçük ekranlarda arayüz elemanları birbirine girmekte ve tasarım bozulmaktadır.
Ayrıca new board ekledikten sonra ekleniyor fakat normal ekranlardan olan Create a new Board altına oluşturduğumuz gelmesi gereken Board küçük ekranlarda gelmiyor.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,17/Sep/26 6:32 AM;c81d48e0-b6a6-4e44-9fa1-7b52a275c7eb;Ekran Resmi 2026-09-17 06.22.47.png;https://meleky2307.atlassian.net/rest/api/3/attachment/content/10105,17/Sep/26 6:32 AM;c81d48e0-b6a6-4e44-9fa1-7b52a275c7eb;Ekran Resmi 2026-09-17 06.23.02.png;https://meleky2307.atlassian.net/rest/api/3/attachment/content/10106,17/Sep/26 6:32 AM;c81d48e0-b6a6-4e44-9fa1-7b52a275c7eb;Ekran Resmi 2026-09-17 06.26.54.png;https://meleky2307.atlassian.net/rest/api/3/attachment/content/10107,17/Sep/26 6:32 AM;c81d48e0-b6a6-4e44-9fa1-7b52a275c7eb;Ekran Resmi 2026-09-17 06.27.45.png;https://meleky2307.atlassian.net/rest/api/3/attachment/content/10109,,,,,,,,,,,,,,,,,,,,,,,,0|i000ar:,,,,,,,,,10222,TAS-51,modül6 20 -- 27,To Do,17/Sep/26 6:32 AM
"TC_09: Filtreyi Temizleme (""Show All"")",TAS-60,10231,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 6:18 AM,17/Sep/26 6:47 AM,17/Sep/26 6:46 AM,17/Sep/26 6:47 AM,,0,,,"* *Ön Koşul:* Panoda öncelik filtresi uygulanmış ve görevler daraltılmış/filtrelenmiş durumda olmalıdır.
* *Test Adımları:* Filtre modalı içindeki *""Show all""* butonuna tıklanır.
* *Beklenen Sonuç:* Tüm öncelik filtreleri kaldırılmalı ve panodaki tüm görevler tekrar eksiksiz listelenmelidir.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008z:9,,,,,,,,,10222,TAS-51,modül6 20 -- 27,Done,17/Sep/26 6:47 AM
TC_08: Görev Önceliklerine Göre Filtreleme,TAS-59,10230,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 6:18 AM,17/Sep/26 6:46 AM,,17/Sep/26 6:46 AM,,0,,,"* *Ön Koşul:* Panoda farklı öncelik seviyelerine ({{low}}, {{medium}}, {{high}}, {{without}}) sahip görevler eklenmiş ve filtre modalı açık olmalıdır.
* *Test Adımları:*
*# Modaldan belirli bir öncelik seçeneği seçilir.
*# Pano üzerindeki görevlerin listelenme durumu gözlemlenir.
* *Beklenen Sonuç:* Yalnızca seçilen önceliğe sahip görevler ekranda filtrelenerek gösterilmelidir.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008z:i,,,,,,,,,10222,TAS-51,modül6 20 -- 27,Done,17/Sep/26 6:46 AM
TC_07: Pano Arka Plan Seçenekleri,TAS-58,10229,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 6:17 AM,17/Sep/26 6:46 AM,17/Sep/26 6:46 AM,17/Sep/26 6:46 AM,,0,,,"* *Ön Koşul:* Filtreleme/Arka plan modalı açık durumda olmalıdır.
* *Test Adımları:* Modaldaki arka plan seçenekleri listesi incelenir ve seçim yapılır.
* *Beklenen Sonuç:* Listede ''arka plan yok'' seçeneği dahil tüm arka planlar yer almalı ve seçilen arka plan panoya uygulanabilmelidir.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00090:,,,,,,,,,10222,TAS-51,modül6 20 -- 27,Done,17/Sep/26 6:46 AM
TC_06: Filtreleme Modalının Açılması ve Kapatılması,TAS-57,10228,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 6:16 AM,17/Sep/26 6:46 AM,17/Sep/26 6:43 AM,17/Sep/26 6:46 AM,,0,,,"* *Ön Koşul:* Kullanıcı ana sayfada olmalı ve ""Filters"" butonuna erişebilir durumda olmalıdır.
* *Test Adımları:*
*# ""Filters"" butonuna tıklanır.
*# Açılan modaldaki kapatma ({{x}}) butonuna tıklanır.
* *Beklenen Sonuç:* Butona tıklandığında filtreleme ve arka plan modalı açılmalı; {{x}} butonuna tıklandığında modal herhangi bir değişiklik yapmadan kapanmalıdır.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00091:,,,,,,,,,10222,TAS-51,modül6 20 -- 27,Done,17/Sep/26 6:46 AM
TC_SCR_05: Dikey Kaydırma (Vertical Scroll) Kontrolü,TAS-56,10227,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 6:11 AM,17/Sep/26 6:43 AM,17/Sep/26 6:43 AM,17/Sep/26 6:43 AM,,0,,,"* *Ön Koşul:* Bir sütun içerisinde ekran yüksekliğini aşacak kadar çok kart/görev eklenir.
* *Test Adımları:* Sütun içeriği dikeyde kaydırılır.
* *Beklenen Sonuç:* Sayfanın tamamı değil, yalnızca ilgili sütunun konteyneri içinde bağımsız bir dikey kaydırma çubuğu oluşmalıdır.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00093:,,,,,,,,,10222,TAS-51,modül6 20 -- 27,Done,17/Sep/26 6:43 AM
TC_SCR_04: Yatay Kaydırma (Horizontal Scroll) Kontrolü,TAS-55,10226,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 6:10 AM,17/Sep/26 6:42 AM,,17/Sep/26 6:42 AM,,0,,,"* *Ön Koşul:* Ekran genişliğini aşacak sayıda sütun oluşturulur.
* *Test Adımları:* Sayfada yatay kaydırma çubuğu kullanılır.
* *Beklenen Sonuç:* Sütunlar yatayda kaydırılabilir olmalı; ancak üstteki Header ve yandaki Sidebar sabit kalmalıdır.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009f:,,,,,,,,,10222,TAS-51,modül6 20 -- 27,Done,17/Sep/26 6:42 AM
TC_UI_03: Sütun İçi Bileşenlerin Varlığı,TAS-54,10225,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 6:10 AM,17/Sep/26 6:42 AM,17/Sep/26 6:42 AM,17/Sep/26 6:42 AM,,0,,,"* *Test Adımları:* Pano üzerindeki mevcut bir sütun incelenir.
* *Beklenen Sonuç:* Her sütunun içinde; sütun başlığı, görev listesi ve ""Add another card"" butonunun bulunduğu doğrulanır.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00097:,,,,,,,,,10222,TAS-51,modül6 20 -- 27,Done,17/Sep/26 6:42 AM
TC_UI_02: Ana Sayfa Temel Elemanlarının Varlığı,TAS-53,10224,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 6:09 AM,17/Sep/26 6:39 AM,17/Sep/26 6:33 AM,17/Sep/26 6:39 AM,,0,,,"* *Test Adımları:* Pano sayfası açılır.
* *Beklenen Sonuç:* Sayfada sırasıyla şu bileşenlerin yer aldığı doğrulanır:
** Pano başlığı
** Filters butonu
** Add another column butonu
** Oluşturulmuş sütunlar bloğu",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008z:,,,,,,,,,10222,TAS-51,modül6 20 -- 27,Done,17/Sep/26 6:39 AM
TC_RESP_01: Farklı Ekran Çözünürlüklerine Uygunluk,TAS-52,10223,Task,In Review,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 6:07 AM,17/Sep/26 6:28 AM,17/Sep/26 6:19 AM,,,0,,,"* *Ön Koşul:* Kullanıcı sisteme giriş yapmış ve bir panoda bulunmalıdır.
* *Test Adımları:*
*# Sayfa 3 farklı temel çözünürlükte (Mobil, Tablet, Masaüstü) açılır.
*# Arayüz elemanlarının konumu ve düzeni kontrol edilir.
* *Beklenen Sonuç:* Ana sayfa, belirlenen 3 farklı çözünürlükteki tasarıma tam uygun olarak düzgün ve bozulmasız görüntülenmelidir",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008r:,,,,,,,,,10222,TAS-51,modül6 20 -- 27,To Do,17/Sep/26 6:07 AM
modül6 20 -- 27,TAS-51,10222,Epic,To Do,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,17/Sep/26 6:06 AM,17/Sep/26 6:06 AM,,,,0,,,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grey,,,,0|i0008j:,,,,,,,,,,,,To Do,17/Sep/26 6:06 AM
Need Help modal - Mesaj alanı karakter sınırı eksikliği,TAS-50,10189,Bug,Bug,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,16/Sep/26 7:46 PM,17/Sep/26 6:05 AM,21/Sep/26 9:03 PM,,,0,,,"

* *Özet (Summary):* Need Help modal - Şartnamede belirtilmemesine rağmen sitede mesaj alanı için karakter kısıtı (örn. en az 10 karakter) yer alıyor.
* *Ön Koşullar:* Need Help yardım formu açık olmalıdır.
* *Test Adımları:*
*# Mesaj alanına 10 karakterden az bir metin girilir.
*# *Send* butonuna tıklanır.
* 
*# *Beklenen Sonuç:* Gereksinim dokümanında (şartnamede) mesaj alanı için herhangi bir karakter alt sınırı belirtilmemiştir. Sadece ""doldurulması zorunlu"" olduğu söylenmiştir. Dolayısıyla dokümana uygun davranılmalıdır.
*# *Gerçekleşen Sonuç:* Canlı sitede mesaj alanı için dokümanda yer almayan gizli bir karakter kısıtı (örn. min 10 karakter) bulunmaktadır ve kısa mesajlar bu kurala takılmaktadır.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,16/Sep/26 7:46 PM;c81d48e0-b6a6-4e44-9fa1-7b52a275c7eb;Ekran Resmi 2026-09-16 19.46.21.png;https://meleky2307.atlassian.net/rest/api/3/attachment/content/10068,17/Sep/26 6:05 AM;c81d48e0-b6a6-4e44-9fa1-7b52a275c7eb;Ekran Resmi 2026-09-17 06.04.09.png;https://meleky2307.atlassian.net/rest/api/3/attachment/content/10104,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008b:,,,,,,,,,10179,TAS-40,modül5 13--19,To Do,16/Sep/26 7:46 PM
Need Help modal - Send işleminden sonra başarı bildirimi (toast/alert) gösterilmiyor,TAS-49,10188,Bug,Bug,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,16/Sep/26 7:42 PM,17/Sep/26 5:51 AM,21/Sep/26 9:03 PM,,,0,,,"* *Özet (Summary):* Need Help modalı - Send butonuna tıkladıktan sonra herhangi bir başarı onay mesajı gösterilmiyor.
* *Ön Koşullar:* Need Help yardım formu açık olmalıdır.
* *Test Adımları:*
*# E-posta ve mesaj alanları kurallara uygun şekilde doldurulur.
*# *Send* butonuna tıklanır.
* *Beklenen Sonuç:* Form kapandıktan veya gönderim tamamlandıktan sonra kullanıcıya mesajın başarıyla iletildiğine dair bir bilgilendirme mesajı (toast/popup) gösterilmelidir.
* *Gerçekleşen Sonuç:* Form kapanmakta ancak kullanıcıya gönderildiğine dair herhangi bir bilgilendirme yapılmamaktadır.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,16/Sep/26 7:47 PM;c81d48e0-b6a6-4e44-9fa1-7b52a275c7eb;Ekran Resmi 2026-09-16 19.47.09.png;https://meleky2307.atlassian.net/rest/api/3/attachment/content/10070,16/Sep/26 7:47 PM;c81d48e0-b6a6-4e44-9fa1-7b52a275c7eb;Ekran Resmi 2026-09-16 19.47.29.png;https://meleky2307.atlassian.net/rest/api/3/attachment/content/10069,17/Sep/26 5:51 AM;c81d48e0-b6a6-4e44-9fa1-7b52a275c7eb;Ekran Resmi 2026-09-17 05.51.01.png;https://meleky2307.atlassian.net/rest/api/3/attachment/content/10103,,,,,,,,,,,,,,,,,,,,,,,,,0|i00083:,,,,,,,,,10179,TAS-40,modül5 13--19,To Do,16/Sep/26 7:42 PM
TC-08: Log Out (Oturumu Kapatma) İşlemi,TAS-48,10187,Task,Done,TAS,taskpromelek,software,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,Medium,Done,,,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,16/Sep/26 7:31 PM,16/Sep/26 7:48 PM,21/Sep/26 9:03 PM,16/Sep/26 7:48 PM,,0,,,"* *Ön Koşul:* Kullanıcı sisteme giriş yapmış olmalıdır.
* *Test Adımları:*
*# SideBar alt kısmında yer alan *Log Out* butonuna tıklanır.
* *Beklenen Sonuç:* Kullanıcının aktif oturumu sonlandırılmalı, sistem dışına atılmalı ve kullanıcı yetkisiz duruma (giriş sayfasına) yönlendirilmelidir.",,melek yılmaz,712020:15f1eb2f-7aa5-4e11-bca8-c8ad9e0acfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006v:9,,,,,,,,,10179,TAS-40,modül5 13--19,Done,16/Sep/26 7:48 PM
